Record_ID,Data_Load_Date,Age,Age_Group,Sex,Job,Job_Category,Housing,Saving accounts,Checking account,Credit amount,Credit_Tier,Duration,Duration_Category,Purpose,Estimated_Monthly_Payment,Credit_Per_Age,Risk,Risk_Score,Exposure_Level,High_Amount_Flag,Long_Duration_Flag,Young_Applicant_Flag
1,2026-01-06,67,Senior (51+),male,2,Skilled,own,Unknown,little,1169,Small (<2K),6,Short (<1yr),radio/TV,194.83,17.45,good,1,Low Exposure,0,0,0
2,2026-01-06,22,Young (18-25),female,2,Skilled,own,little,moderate,5951,Large (5K-10K),48,Very Long (3yr+),radio/TV,123.98,270.5,bad,0,High Exposure,1,1,1
3,2026-01-06,49,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,Unknown,2096,Medium (2K-5K),12,Short (<1yr),education,174.67,42.78,good,1,Medium Exposure,0,0,0
4,2026-01-06,45,Middle-Aged (36-50),male,2,Skilled,free,little,little,7882,Large (5K-10K),42,Very Long (3yr+),furniture/equipment,187.67,175.16,good,1,High Exposure,1,1,0
5,2026-01-06,53,Senior (51+),male,2,Skilled,free,little,little,4870,Medium (2K-5K),24,Medium (1-2yr),car,202.92,91.89,bad,0,Medium Exposure,1,0,0
6,2026-01-06,35,Adult (26-35),male,1,Semi-Skilled,free,Unknown,Unknown,9055,Large (5K-10K),36,Long (2-3yr),education,251.53,258.71,good,1,High Exposure,1,1,0
7,2026-01-06,53,Senior (51+),male,2,Skilled,own,quite rich,Unknown,2835,Medium (2K-5K),24,Medium (1-2yr),furniture/equipment,118.12,53.49,good,1,Medium Exposure,1,0,0
8,2026-01-06,35,Adult (26-35),male,3,Highly Skilled,rent,little,moderate,6948,Large (5K-10K),36,Long (2-3yr),car,193.0,198.51,good,1,High Exposure,1,1,0
9,2026-01-06,61,Senior (51+),male,1,Semi-Skilled,own,rich,Unknown,3059,Medium (2K-5K),12,Short (<1yr),radio/TV,254.92,50.15,good,1,Medium Exposure,1,0,0
10,2026-01-06,28,Adult (26-35),male,3,Highly Skilled,own,little,moderate,5234,Large (5K-10K),30,Long (2-3yr),car,174.47,186.93,bad,0,High Exposure,1,1,1
11,2026-01-06,25,Young (18-25),female,2,Skilled,rent,little,moderate,1295,Small (<2K),12,Short (<1yr),car,107.92,51.8,bad,0,Medium Exposure,0,0,1
12,2026-01-06,24,Young (18-25),female,2,Skilled,rent,little,little,4308,Medium (2K-5K),48,Very Long (3yr+),business,89.75,179.5,bad,0,Medium Exposure,1,1,1
13,2026-01-06,22,Young (18-25),female,2,Skilled,own,little,moderate,1567,Small (<2K),12,Short (<1yr),radio/TV,130.58,71.23,good,1,Medium Exposure,0,0,1
14,2026-01-06,60,Senior (51+),male,1,Semi-Skilled,own,little,little,1199,Small (<2K),24,Medium (1-2yr),car,49.96,19.98,bad,0,Medium Exposure,0,0,0
15,2026-01-06,28,Adult (26-35),female,2,Skilled,rent,little,little,1403,Small (<2K),15,Medium (1-2yr),car,93.53,50.11,good,1,Medium Exposure,0,0,1
16,2026-01-06,32,Adult (26-35),female,1,Semi-Skilled,own,moderate,little,1282,Small (<2K),24,Medium (1-2yr),radio/TV,53.42,40.06,bad,0,Medium Exposure,0,0,0
17,2026-01-06,53,Senior (51+),male,2,Skilled,own,Unknown,Unknown,2424,Medium (2K-5K),24,Medium (1-2yr),radio/TV,101.0,45.74,good,1,Medium Exposure,1,0,0
18,2026-01-06,25,Young (18-25),male,2,Skilled,own,Unknown,little,8072,Large (5K-10K),30,Long (2-3yr),business,269.07,322.88,good,1,High Exposure,1,1,1
19,2026-01-06,44,Middle-Aged (36-50),female,3,Highly Skilled,free,little,moderate,12579,Very Large (10K+),24,Medium (1-2yr),car,524.12,285.89,bad,0,Medium Exposure,1,0,0
20,2026-01-06,31,Adult (26-35),male,2,Skilled,own,quite rich,Unknown,3430,Medium (2K-5K),24,Medium (1-2yr),radio/TV,142.92,110.65,good,1,Medium Exposure,1,0,0
21,2026-01-06,48,Middle-Aged (36-50),male,2,Skilled,own,little,Unknown,2134,Medium (2K-5K),9,Short (<1yr),car,237.11,44.46,good,1,Medium Exposure,0,0,0
22,2026-01-06,44,Middle-Aged (36-50),male,2,Skilled,rent,quite rich,little,2647,Medium (2K-5K),6,Short (<1yr),radio/TV,441.17,60.16,good,1,Medium Exposure,1,0,0
23,2026-01-06,48,Middle-Aged (36-50),male,1,Semi-Skilled,rent,little,little,2241,Medium (2K-5K),10,Short (<1yr),car,224.1,46.69,good,1,Medium Exposure,0,0,0
24,2026-01-06,44,Middle-Aged (36-50),male,2,Skilled,own,moderate,moderate,1804,Small (<2K),12,Short (<1yr),car,150.33,41.0,good,1,Medium Exposure,0,0,0
25,2026-01-06,26,Adult (26-35),male,2,Skilled,own,Unknown,Unknown,2069,Medium (2K-5K),10,Short (<1yr),furniture/equipment,206.9,79.58,good,1,Medium Exposure,0,0,1
26,2026-01-06,36,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,little,1374,Small (<2K),6,Short (<1yr),furniture/equipment,229.0,38.17,good,1,Low Exposure,0,0,0
27,2026-01-06,39,Middle-Aged (36-50),male,1,Semi-Skilled,own,little,Unknown,426,Small (<2K),6,Short (<1yr),radio/TV,71.0,10.92,good,1,Low Exposure,0,0,0
28,2026-01-06,42,Middle-Aged (36-50),female,2,Skilled,rent,rich,rich,409,Small (<2K),12,Short (<1yr),radio/TV,34.08,9.74,good,1,Medium Exposure,0,0,0
29,2026-01-06,34,Adult (26-35),male,2,Skilled,own,little,moderate,2415,Medium (2K-5K),7,Short (<1yr),radio/TV,345.0,71.03,good,1,Medium Exposure,1,0,0
30,2026-01-06,63,Senior (51+),male,2,Skilled,own,little,little,6836,Large (5K-10K),60,Very Long (3yr+),business,113.93,108.51,bad,0,High Exposure,1,1,0
31,2026-01-06,36,Middle-Aged (36-50),male,2,Skilled,own,rich,moderate,1913,Small (<2K),18,Medium (1-2yr),business,106.28,53.14,good,1,Medium Exposure,0,0,0
